,stim1,objmod1,loc1,stim2,objmod2,loc2,action
0,0,4,0,0,0,0,True
1,0,4,0,1,1,0,True
2,0,4,0,2,6,0,True
3,0,4,0,3,7,0,True
4,0,0,0,4,4,1,False
5,0,4,0,5,1,1,False
6,0,4,0,6,6,1,False
7,0,0,0,7,7,1,False
8,1,5,0,0,0,0,True
9,1,5,0,1,5,0,True
10,1,1,0,2,2,0,True
11,1,5,0,3,3,0,True
12,1,1,0,4,4,1,False
13,1,5,0,5,5,1,False
14,1,5,0,6,2,1,False
15,1,1,0,7,7,1,False
16,2,2,0,0,0,0,True
17,2,2,0,1,1,0,True
18,2,6,0,2,2,0,True
19,2,6,0,3,7,0,True
20,2,2,0,4,4,1,False
21,2,2,0,5,5,1,False
22,2,2,0,6,6,1,False
23,2,6,0,7,3,1,False
24,3,7,0,0,0,0,True
25,3,7,0,1,1,0,True
26,3,3,0,2,6,0,True
27,3,7,0,3,7,0,True
28,3,3,0,4,4,1,False
29,3,7,0,5,1,1,False
30,3,3,0,6,6,1,False
31,3,7,0,7,3,1,False
32,4,4,1,0,0,0,False
33,4,0,1,1,1,0,False
34,4,4,1,2,2,0,False
35,4,0,1,3,7,0,False
36,4,0,1,4,0,1,True
37,4,0,1,5,5,1,True
38,4,4,1,6,6,1,True
39,4,0,1,7,7,1,True
40,5,5,1,0,4,0,False
41,5,5,1,1,1,0,False
42,5,5,1,2,6,0,False
43,5,1,1,3,7,0,False
44,5,5,1,4,0,1,True
45,5,1,1,5,5,1,True
46,5,1,1,6,6,1,True
47,5,1,1,7,3,1,True
48,6,6,1,0,4,0,False
49,6,2,1,1,5,0,False
50,6,6,1,2,2,0,False
51,6,2,1,3,7,0,False
52,6,2,1,4,0,1,True
53,6,6,1,5,1,1,True
54,6,2,1,6,2,1,True
55,6,6,1,7,7,1,True
56,7,7,1,0,0,0,False
57,7,7,1,1,5,0,False
58,7,7,1,2,6,0,False
59,7,3,1,3,7,0,False
60,7,3,1,4,4,1,True
61,7,7,1,5,1,1,True
62,7,3,1,6,6,1,True
63,7,3,1,7,3,1,True
