,Unnamed: 0,stim1,loc1,locmod1,ctgmod1,objmod1,angmod1,objlocmod1,ref1,stim2,loc2,locmod2,ctgmod2,objmod2,angmod2,objlocmod2,ref2,stim3,loc3,locmod3,ctgmod3,objmod3,angmod3,objlocmod3,ref3,action
0,279,4,0,0,1,2,0,2,4,15,1,1,1,3,1,7,7,8,1,1,0,0,0,4,0,False
1,11,2,0,0,0,1,0,1,2,7,0,0,1,3,1,3,7,12,1,1,1,2,0,6,4,False
2,316,14,1,1,1,3,0,7,6,8,1,1,0,0,0,4,0,7,0,0,1,3,1,3,7,False
3,200,2,0,0,0,1,0,1,2,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,True
4,286,7,0,0,1,3,1,3,7,12,1,1,1,2,0,6,4,14,1,1,1,3,0,7,6,False
5,27,6,0,0,1,3,0,3,6,7,0,0,1,3,1,3,7,14,1,1,1,3,0,7,6,True
6,248,14,1,1,1,3,0,7,6,0,0,0,0,0,0,0,0,7,0,0,1,3,1,3,7,True
7,4,0,0,0,0,0,0,0,0,9,1,1,0,0,1,4,1,7,0,0,1,3,1,3,7,False
8,122,14,1,1,1,3,0,7,6,5,0,0,1,2,1,2,5,4,0,0,1,2,0,2,4,True
9,32,9,1,1,0,0,1,4,1,1,0,0,0,0,1,0,1,2,0,0,0,1,0,1,2,False
10,231,9,1,1,0,0,1,4,1,15,1,1,1,3,1,7,7,14,1,1,1,3,0,7,6,True
11,162,9,1,1,0,0,1,4,1,5,0,0,1,2,1,2,5,4,0,0,1,2,0,2,4,True
12,237,10,1,1,0,1,0,5,2,10,1,1,0,1,0,5,2,10,1,1,0,1,0,5,2,True
13,283,7,0,0,1,3,1,3,7,7,0,0,1,3,1,3,7,4,0,0,1,2,0,2,4,False
14,138,2,0,0,0,1,0,1,2,4,0,0,1,2,0,2,4,12,1,1,1,2,0,6,4,False
15,62,14,1,1,1,3,0,7,6,13,1,1,1,2,1,6,5,3,0,0,0,1,1,1,3,False
16,215,5,0,0,1,2,1,2,5,14,1,1,1,3,0,7,6,6,0,0,1,3,0,3,6,True
17,135,1,0,0,0,0,1,0,1,14,1,1,1,3,0,7,6,6,0,0,1,3,0,3,6,False
18,298,10,1,1,0,1,0,5,2,5,0,0,1,2,1,2,5,5,0,0,1,2,1,2,5,True
19,128,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,8,1,1,0,0,0,4,0,True
